"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"1_317.2_4.436",5.1194,7.0179,7.5915,7.2208,7.0335
"2_655.398_4.433",3.9247,5.2906,5.8193,5.5288,5.4026
"3_374.261_0.409",2.4743,3.4371,3.6826,3.5138,3.445
"4_659.429_4.683",1.4899,2.4462,2.7285,2.6028,2.4806
"5_319.215_4.705",3.4765,4.5823,4.7833,4.5474,4.4109
"6_287.224_5.044",2.1923,3.4189,3.5707,3.3998,3.291
"7_633.416_4.434",1.7955,2.6217,2.9017,2.7603,2.6905
"8_971.608_4.435",1.6577,2.2624,2.4348,2.3225,2.2803
"9_303.22_5.579",3.0783,5.6346,6.7688,8.2138,10.054
"10_331.216_6.213",1.6514,2.3799,2.6397,2.5077,2.4249
"11_857.519_6.942",0.46211,0.48464,0.51799,0.49627,0.50269
"12_685.467_9.252",1.5876,1.9728,1.921,1.9337,1.9107
"13_685.437_11.027",0.95633,1.4679,1.3745,1.309,1.2414
"14_299.188_4.522",3.0813,4.7117,4.4078,4.7433,4.6114
"15_359.212_5.742",2.0384,2.9986,3.3324,3.1666,3.0583
"16_527.295_4.994",0.1723,0.12313,0.1257,0.11948,0.11866
"17_655.398_4.841",13.499,9.6811,9.4998,9.0256,8.6022
"18_155.058_0.245",0.11788,0.34816,0.4239,0.4174,0.48021
"19_857.487_7.202",0.18422,0.13218,0.13244,0.12735,0.13019
"20_338.332_8.729",1.2794,1.4096,1.3742,1.3718,1.3098
"21_510.389_6.338",2.9314,2.8468,2.6448,3.1683,3.1354
"22_285.208_5.582",11.994,9.4432,8.9256,8.5597,8.1899
"23_637.447_4.711",1.9367,2.5888,2.9522,2.8055,2.7306
"24_339.183_4.529",0.75882,1.5259,1.4222,1.6679,1.6945
"25_739.421_5.74",0.91329,1.2598,1.4037,1.3349,1.2954
"26_353.199_6.21",0.78932,1.0193,1.1178,1.0621,1.031
"27_138.029_0.249",1.7935,1.3148,1.2262,1.2211,1.2122
"28_694.543_10.725",1.0486,1.101,1.0809,1.0276,0.97529
"29_399.207_5.367",1.3257,1.6862,1.8146,1.7303,1.6856
"30_339.183_4.829",0.17342,4.1639,3.9247,3.7315,3.5488
"31_299.188_4.431",0.95628,1.3619,1.5015,1.4269,1.4017
"32_339.183_4.434",1.4785,1.798,1.8781,1.7845,1.7155
"33_415.347_5.156",1.1028,1.4578,1.358,1.3278,1.2632
"34_977.655_4.708",0.95151,1.1128,1.2504,1.1888,1.158
"35_815.511_6.396",0.23929,0.19589,0.20534,0.19735,0.20062
"36_527.296_4.874",0.71049,0.86693,0.91096,0.86702,0.84834
"37_373.19_4.687",0.38956,0.30816,0.58181,0.58397,0.57865
"38_325.203_5.575",1.7262,1.2855,1.6451,2.5831,2.5854
"39_673.409_4.73",0.7791,0.93819,1.0212,0.97617,0.96272
"40_553.33_6.847",0.089091,0.38424,0.3597,0.38668,0.46863
"41_649.411_6.268",0.51173,0.62173,0.67961,0.65012,0.64541
"42_428.368_6.658",0.22647,1.0538,1.8016,2.5479,2.9115
"43_327.219_5.046",0.40713,0.43971,0.47752,0.45622,0.45477
"44_513.337_7.201",2.2652,1.6212,1.5428,1.4851,1.4259
"45_146.093_0.24",0.44689,0.35653,0.36621,0.34814,0.33357
"46_485.284_4.275",0.12325,0.10079,0.09414,0.089647,0.08602
"47_775.443_5.368",0.53092,0.61178,0.66775,0.63802,0.62537
"48_381.196_5.742",0.70685,0.94025,1.0459,0.99478,0.96539
"49_355.179_4.735",0.97741,1.1364,1.2176,1.17,1.1611
"50_301.204_6.465",8.6743,6.2596,6.1828,6.389,6.1776
"51_813.532_7.693",0.39361,0.41129,0.43736,0.41893,0.41481
"52_482.357_5.555",0.3028,0.91335,0.99174,1.2727,1.3233
"53_330.286_5.153",0.40479,0.38942,0.41915,0.39817,0.37868
"54_817.493_7.204",0.11588,0.10066,0.093583,0.089026,0.084727
"55_323.187_6.471",3.8301,2.7534,2.6312,2.5925,2.5398
"56_374.261_0.557",0.20359,0.23378,0.25102,0.24647,0.27019
